Stage,Plastochron,Internode,Treatment,Avg_Length
S5,P9,Hyp,L88-57 Low Light,3.01
S5,P9,Hyp,L88-57 High Light,3.08
S5,P9,Epi,L88-57 Low Light,2.37
S5,P9,Epi,L88-57 High Light,2.27
S5,P9,IN1,L88-57 Low Light,1.90
S5,P9,IN1,L88-57 High Light,1.43
S5,P9,IN2,L88-57 Low Light,1.92
S5,P9,IN2,L88-57 High Light,1.32
S5,P9,IN3,L88-57 Low Light,3.27
S5,P9,IN3,L88-57 High Light,2.32
S5,P9,IN4,L88-57 Low Light,4.26
S5,P9,IN4,L88-57 High Light,2.42
S5,P9,IN5,L88-57 Low Light,5.82
S5,P9,IN5,L88-57 High Light,1.74
S5,P9,IN6,L88-57 Low Light,6.61
S5,P9,IN6,L88-57 High Light,1.16
S5,P9,IN7,L88-57 Low Light,4.06
S5,P9,IN7,L88-57 High Light,0.88
S5,P9,IN8,L88-57 Low Light,1.42
S5,P9,IN8,L88-57 High Light,0.41
S5,P9,IN9,L88-57 Low Light,0.39
S5,P9,IN9,L88-57 High Light,0.23
S5,P9,Hyp,Zenith Low Light,4.97
S5,P9,Epi,Zenith Low Light,3.58
S5,P9,IN1,Zenith Low Light,0.98
S5,P9,IN2,Zenith Low Light,1.04
S5,P9,IN3,Zenith Low Light,1.46
S5,P9,IN4,Zenith Low Light,2.04
S5,P9,IN5,Zenith Low Light,2.50
S5,P9,IN6,Zenith Low Light,2.98
S5,P9,IN7,Zenith Low Light,2.31
S5,P9,IN8,Zenith Low Light,0.99
S5,P9,IN9,Zenith Low Light,0.33